name,start_time,duration,"data"
"Async Serial",0.88072702,0.00030436,"["
"Async Serial",0.88104736,0.00030436,"M"
"Async Serial",0.8813677,0.00030436,"S"
"Async Serial",0.88168804,0.00030436,"G"
"Async Serial",0.88200838,0.00030436,"]"
"Async Serial",0.88232874,0.00030436," "
"Async Serial",0.88264908,0.00030436,"A"
"Async Serial",0.88296942,0.00030436,"c"
"Async Serial",0.88328976,0.00030436,"t"
"Async Serial",0.88361012,0.00030436,"i"
"Async Serial",0.88393046,0.00030436,"v"
"Async Serial",0.8842508,0.00030436,"i"
"Async Serial",0.88457114,0.00030436,"t"
"Async Serial",0.88489148,0.00030436,"y"
"Async Serial",0.88521184,0.00030436," "
"Async Serial",0.88553218,0.00030436,"f"
"Async Serial",0.88585252,0.00030436,"r"
"Async Serial",0.88617286,0.00030436,"o"
"Async Serial",0.88649322,0.00030436,"m"
"Async Serial",0.88681356,0.00030436,":"
"Async Serial",0.8871339,0.00030436," "
"Async Serial",0.88745424,0.00030436,"e"
"Async Serial",0.88777458,0.00030436,"c"
"Async Serial",0.88809494,0.00030436,"1"
"Async Serial",0.88841528,0.00030436,"c"
"Async Serial",0.88873562,0.00030436,"7"
"Async Serial",0.88905596,0.00030436,"e"
"Async Serial",0.88937632,0.00030436,"7"
"Async Serial",0.88969666,0.00030436,"4"
"Async Serial",0.890017,0.00030436,"4"
"Async Serial",0.89033734,0.00030436,"9"
"Async Serial",0.89065768,0.00030436,"3"
"Async Serial",0.89097804,0.00030436,"4"
"Async Serial",0.89129838,0.00030436,"1"
"Async Serial",0.89161872,0.00030436,"b"
"Async Serial",0.89193906,0.00030436,"5"
"Async Serial",0.89225942,0.00030436,"8"
"Async Serial",0.89257976,0.00030436,"4"
"Async Serial",0.8929001,0.00030436,"7"
"Async Serial",0.89322044,0.00030436,"8"
"Async Serial",0.89354078,0.00030436,"c"
"Async Serial",0.89386114,0.00030436,"9"
"Async Serial",0.89418148,0.00030436,"3"
"Async Serial",0.89450182,0.00030436,"c"
"Async Serial",0.89482216,0.00030436,"2"
"Async Serial",0.89514252,0.00030436,"7"
"Async Serial",0.89546286,0.00030436,"e"
"Async Serial",0.8957832,0.00030436,"a"
"Async Serial",0.89610354,0.00030436,"6"
"Async Serial",0.8964239,0.00030436,"e"
"Async Serial",0.89674424,0.00030436,"0"
"Async Serial",0.89706458,0.00030436,"8"
"Async Serial",0.89738492,0.00030436,"a"
"Async Serial",0.89770526,0.00030436,"5"
"Async Serial",0.89802562,0.00030436,"3"
"Async Serial",0.89834596,0.00030436,"c"
"Async Serial",0.8986663,0.00030436,"c"
"Async Serial",0.89898664,0.00030436,"8"
"Async Serial",0.899307,0.00030436,"3"
"Async Serial",0.89962734,0.00030436,"4"
"Async Serial",0.89994768,0.00030436,"2"
"Async Serial",0.90026802,0.00030436,"7"
"Async Serial",0.90058838,0.00030436,"9"
"Async Serial",0.90090872,0.00030436,"e"
"Async Serial",0.90122906,0.00030436,"1"
"Async Serial",0.9015494,0.00030436,"6"
"Async Serial",0.90186974,0.00030436,"4"
"Async Serial",0.9021901,0.00030436,"3"
"Async Serial",0.90251044,0.00030436,"d"
"Async Serial",0.90283078,0.00030436,"b"
"Async Serial",0.90315112,0.00030436,"b"
"Async Serial",0.90347148,0.00030436,"a"
"Async Serial",0.90379182,0.00030436,"9"
"Async Serial",0.90411216,0.00030436,"9"
"Async Serial",0.9044325,0.00030436,"4"
"Async Serial",0.90475284,0.00030436,"a"
"Async Serial",0.9050732,0.00030436,"0"
"Async Serial",0.90539354,0.00030436,"e"
"Async Serial",0.90571388,0.00030436,"7"
"Async Serial",0.90603422,0.00030436,"f"
"Async Serial",0.90635456,0.00030436,"3"
"Async Serial",0.90667492,0.00030436,"e"
"Async Serial",0.90699526,0.00030436,"a"
"Async Serial",0.9073156,0.00030436,"4"
"Async Serial",0.90763594,0.00030436,"3"
"Async Serial",0.9079563,0.00030436,"\n"
"Async Serial",0.90827664,0.00030436,"\n"
"Async Serial",0.90859698,0.00030436,"["
"Async Serial",0.90891732,0.00030436,"M"
"Async Serial",0.90923766,0.00030436,"S"
"Async Serial",0.90955802,0.00030436,"G"
"Async Serial",0.90987836,0.00030436,"]"
"Async Serial",0.9101987,0.00030436," "
"Async Serial",0.91051904,0.00030436,"A"
"Async Serial",0.9108394,0.00030436,"c"
"Async Serial",0.91115974,0.00030436,"t"
"Async Serial",0.91148008,0.00030436,"i"
"Async Serial",0.91180042,0.00030436,"v"
"Async Serial",0.91212076,0.00030436,"i"
"Async Serial",0.91244112,0.00030436,"t"
"Async Serial",0.91276146,0.00030436,"y"
"Async Serial",0.9130818,0.00030436," "
"Async Serial",0.91340214,0.00030436,"f"
"Async Serial",0.9137225,0.00030436,"r"
"Async Serial",0.91404284,0.00030436,"o"
"Async Serial",0.91436318,0.00030436,"m"
"Async Serial",0.91468352,0.00030436,":"
"Async Serial",0.91500388,0.00030436," "
"Async Serial",0.91532422,0.00030436,"0"
"Async Serial",0.91564456,0.00030436,"0"
"Async Serial",0.9159649,0.00030436,"3"
"Async Serial",0.91628524,0.00030436,"b"
"Async Serial",0.9166056,0.00030436,"9"
"Async Serial",0.91692594,0.00030436,"4"
"Async Serial",0.91724628,0.00030436,"3"
"Async Serial",0.91756662,0.00030436,"4"
"Async Serial",0.91788698,0.00030436,"a"
"Async Serial",0.91820732,0.00030436,"4"
"Async Serial",0.91852766,0.00030436,"5"
"Async Serial",0.918848,0.00030436,"f"
"Async Serial",0.91916836,0.00030436,"0"
"Async Serial",0.9194887,0.00030436,"e"
"Async Serial",0.91980904,0.00030436,"e"
"Async Serial",0.92012938,0.00030436,"c"
"Async Serial",0.92044972,0.00030436,"d"
"Async Serial",0.92077008,0.00030436,"2"
"Async Serial",0.92109042,0.00030436,"d"
"Async Serial",0.92141076,0.00030436,"3"
"Async Serial",0.9217311,0.00030436,"5"
"Async Serial",0.92205146,0.00030436,"b"
"Async Serial",0.9223718,0.00030436,"c"
"Async Serial",0.92269214,0.00030436,"c"
"Async Serial",0.92301248,0.00030436,"7"
"Async Serial",0.92333282,0.00030436,"8"
"Async Serial",0.92365318,0.00030436,"1"
"Async Serial",0.92397352,0.00030436,"2"
"Async Serial",0.92429386,0.00030436,"9"
"Async Serial",0.9246142,0.00030436,"a"
"Async Serial",0.92493454,0.00030436,"a"
"Async Serial",0.9252549,0.00030436,"3"
"Async Serial",0.92557524,0.00030436,"e"
"Async Serial",0.92589558,0.00030436,"d"
"Async Serial",0.92621592,0.00030436,"c"
"Async Serial",0.92653628,0.00030436,"3"
"Async Serial",0.92685662,0.00030436,"6"
"Async Serial",0.92717696,0.00030436,"3"
"Async Serial",0.9274973,0.00030436,"f"
"Async Serial",0.92781764,0.00030436,"8"
"Async Serial",0.928138,0.00030436,"0"
"Async Serial",0.92845834,0.00030436,"2"
"Async Serial",0.92877868,0.00030436,"a"
"Async Serial",0.92909902,0.00030436,"e"
"Async Serial",0.92941938,0.00030436,"5"
"Async Serial",0.92973972,0.00030436,"a"
"Async Serial",0.93006006,0.00030436,"b"
"Async Serial",0.9303804,0.00030436,"d"
"Async Serial",0.93070076,0.00030436,"d"
"Async Serial",0.9310211,0.00030436,"1"
"Async Serial",0.93134144,0.00030436,"6"
"Async Serial",0.93166178,0.00030436,"1"
"Async Serial",0.93198212,0.00030436,"c"
"Async Serial",0.93230248,0.00030436,"4"
"Async Serial",0.93262282,0.00030436,"f"
"Async Serial",0.93294316,0.00030436,"4"
"Async Serial",0.9332635,0.00030436,"2"
"Async Serial",0.93358386,0.00030436,"1"
"Async Serial",0.9339042,0.00030436,"c"
"Async Serial",0.93422454,0.00030436,"a"
"Async Serial",0.93454488,0.00030436,"4"
"Async Serial",0.93486522,0.00030436,"9"
"Async Serial",0.93518558,0.00030436,"a"
"Async Serial",0.93550592,0.00030436,"7"
"Async Serial",0.93582626,0.00030436,"\n"
"Async Serial",0.9361466,0.00030436,"\n"
"Async Serial",0.93646696,0.00030436,"["
